Results for game Greedy0 against DynamicBoard4
Each cycle contains 100 games, where first half of games Greedy0 is black and second half DynamicBoard4 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Greedy0,DynamicBoard4,Discs_Greedy0,Discs_DynamicBoard4
0,1,23,41
0,1,18,46
0,1,30,34
0,1,14,50
0,1,19,45
0,1,3,61
0,1,15,49
0,1,15,49
0,1,27,37
0,1,11,53
0,1,21,43
0,1,8,56
0,1,13,51
0,1,17,47
0,1,27,37
0,1,17,47
0,1,11,53
0,1,16,48
0,1,13,51

Cycle: 5
Greedy0,DynamicBoard4,Discs_Greedy0,Discs_DynamicBoard4
0,1,25,39
0,1,24,40
0,1,15,49
0,1,20,44
0,1,17,47
0,1,17,47
0,1,14,50
0,1,29,35
0,1,14,50
0,1,14,50
0,1,13,51
0,1,22,42
0,1,20,44
0,1,11,53
0,1,14,50
0,1,15,49
0,1,13,51
0,1,17,47
0,1,9,55
0,1,15,49
0,1,25,39
0,1,15,49
0,1,13,51
0,1,17,47
0,1,12,52
0,1,16,48
0,1,30,34
0,1,16,48
0,1,20,44
0,1,14,50
0,1,10,54
0,1,26,38
0,1,13,51
0,1,15,49
0,1,21,43
0,1,11,53
0,1,12,52
0,1,16,48
0,1,16,48
0,1,16,48
0,1,13,51
0,1,29,35
0,1,21,43
0,1,21,43
0,1,15,49
0,1,14,50
0,1,10,54
0,1,25,39
0,1,3,61
0,1,20,44
0,1,11,53
0,1,7,57
0,1,14,50
0,1,18,46
0,1,12,52
0,1,17,47
0,1,15,49
0,1,15,49
0,1,15,49
0,1,22,42
0,1,15,49
0,1,12,52
0,1,22,42
0,1,26,38
0,1,20,44
0,1,16,48
0,1,16,48
0,1,18,46
0,1,22,42
0,1,15,49
0,1,14,50
0,1,20,44
0,1,10,54
0,1,11,53
0,1,8,56
0,1,17,47
0,1,17,47
0,1,21,43
0,1,18,46
0,1,22,42
0,1,9,55
0,1,11,53
0,1,8,56
0,1,20,44
0,1,14,50
0,1,11,53
0,1,23,41
0,1,14,50
0,1,12,52
0,1,16,48
0,1,10,54
0,1,9,55
0,1,22,42
0,1,22,42
0,1,29,35
0,1,17,47
0,1,26,38
0,1,13,51
0,1,16,48
0,1,14,50

Cycle: 6
Greedy0,DynamicBoard4,Discs_Greedy0,Discs_DynamicBoard4
0,1,21,43
0,1,16,48
0,1,14,50
0,1,12,52
0,1,12,52
0,1,21,43
0,1,18,46
0,1,21,43
0,1,17,47
0,1,13,51
0,1,16,48
0,1,22,42
0,1,18,46
0,1,12,52
0,1,17,47
0,1,22,42
0,1,13,51
0,1,9,55
0,1,16,48
0,1,16,48
0,1,8,56
0,1,8,56
0,1,4,60
0,1,28,36
0,1,11,53
0,1,4,60
0,1,17,47
0,1,18,46
0,1,13,51
0,1,23,41
0,1,19,45
0,1,26,38
0,1,19,45
0,1,14,50
0,1,21,43
0,1,16,48
0,1,9,55
0,1,16,48
0,1,7,57
0,1,11,53
0,1,16,48
0,1,16,48
0,1,11,53
0,1,16,48
0,1,21,43
0,1,15,49
0,1,14,50
0,1,10,54
0,1,18,46
0,1,23,41
0,1,23,41
0,1,13,51
0,1,18,46
0,1,14,50
0,1,10,54
0,1,21,43
0,1,12,52
0,1,12,52
0,1,19,45
0,1,19,45
0,1,15,49
0,1,14,50
0,1,11,53
0,1,28,36
0,1,16,48
0,1,15,49
0,1,21,43
0,1,18,46
0,1,12,52
0,1,10,54
0,1,22,42
0,1,17,47
0,1,14,50
0,1,16,48
0,1,22,42
0,1,16,48
0,1,17,47
0,1,15,49
0,1,12,52
0,1,11,53
0,1,24,40
0,1,18,46
0,1,12,52
0,1,13,51
0,1,21,43
0,1,20,44
0,1,30,34
0,1,11,53
0,1,20,44
0,1,16,48
0,1,10,54
0,1,28,36
0,1,19,45
0,1,10,54
0,1,14,50
0,1,25,39
0,1,7,57
0,1,10,54
0,1,10,54
0,1,9,55

Cycle: 7
Greedy0,DynamicBoard4,Discs_Greedy0,Discs_DynamicBoard4
0,1,24,40
0,1,11,53
0,1,18,46
0,1,12,52
0,1,18,46
0,1,13,51
0,1,20,44
0,1,19,45
0,1,23,41
0,1,16,48
0,1,15,49
0,1,29,35
0,1,21,43
0,1,19,45
0,1,26,38
0,1,26,38
0,1,19,45
0,1,9,55
0,1,12,52
0,1,6,58
0,1,21,43
0,1,26,38
0,1,19,45
0,1,13,51
0,1,18,46
0,1,16,48
0,1,19,45
0,1,18,46
0,1,23,41
0,1,19,45
0,1,4,60
0,1,14,50
0,1,20,44
0,1,19,45
0,1,9,55
0,1,27,37
0,1,12,52
0,1,20,44
0,1,19,45
0,1,21,43
0,1,15,49
0,1,16,48
0,1,8,56
0,1,16,48
0,1,12,52
0,1,17,47
0,1,4,60
0,1,14,50
0,1,23,41
0,1,17,47
0,1,14,50
0,1,13,51
0,1,18,46
0,1,16,48
0,1,22,42
0,1,20,44
0,1,17,47
0,1,17,47
0,1,8,56
0,1,26,38
0,1,17,47
0,1,11,53
0,1,18,46
0,1,12,52
0,1,13,51
0,1,17,47
0,1,6,58
0,0,32,32
0,1,16,48
0,1,16,48
0,1,22,42
0,1,10,54
0,1,26,38
0,1,19,45
0,1,3,61
0,1,11,53
0,1,16,48
0,1,15,49
0,1,20,44
0,1,21,43
0,1,11,53
0,1,7,57
0,1,11,53
0,1,9,55
0,1,20,44
0,1,14,50
0,1,23,41
0,1,20,44
0,1,13,51
0,1,20,44
0,1,12,52
0,1,15,49
0,1,16,48
0,1,9,55
0,1,12,52
0,1,17,47
0,1,10,54
0,1,10,54
0,1,10,54
0,1,15,49

Cycle: 8
Greedy0,DynamicBoard4,Discs_Greedy0,Discs_DynamicBoard4
0,1,16,48
0,1,17,47
0,1,11,53
0,1,9,55
0,1,9,55
0,1,8,56
0,1,23,41
0,1,19,45
0,1,14,50
0,1,15,49
0,1,15,49
0,1,21,43
0,1,25,39
0,1,7,57
0,1,13,51
0,1,18,46
0,1,12,52
0,1,21,43
0,1,10,54
0,1,18,46
0,1,15,49
0,1,12,52
0,1,14,50
0,1,14,50
0,1,20,44
0,1,11,53
0,1,7,57
0,1,29,35
0,1,8,56
0,1,22,42
0,1,11,53
0,1,14,50
0,1,18,46
0,1,9,55
0,1,20,44
0,1,23,41
0,1,23,41
0,1,4,60
0,1,21,43
0,1,29,35
0,1,17,47
0,1,15,49
0,1,19,45
0,1,17,47
0,1,15,49
0,1,13,51
0,1,23,41
0,1,16,48
0,1,9,55
0,1,11,53
0,1,18,46
0,1,23,41
0,1,17,47
0,1,23,41
0,1,20,44
0,1,7,57
0,1,15,49
0,1,20,44
0,1,11,53
0,1,19,45
0,1,13,51
0,1,12,52
0,1,12,52
0,1,18,46
0,1,15,49
0,1,16,48
0,1,17,47
0,1,17,47
0,1,15,49
0,1,27,37
0,1,16,48
0,1,17,47
0,1,23,41
0,1,11,53
0,1,24,40
0,1,19,45
0,1,10,54
0,1,18,46
0,1,26,38
0,1,14,50
0,1,7,57
0,1,15,49
0,1,24,40
0,1,13,51
0,1,24,40
0,1,18,46
0,1,28,36
0,1,17,47
0,1,16,48
0,1,18,46
0,1,22,42
0,1,10,54
0,1,18,46
0,1,16,48
0,1,18,46
0,1,14,50
0,1,12,52
0,1,12,52
0,1,17,47
0,1,24,40

Cycle: 9
Greedy0,DynamicBoard4,Discs_Greedy0,Discs_DynamicBoard4
0,1,16,48
0,1,18,46
0,1,15,49
0,1,18,46
0,1,19,45
0,1,15,49
0,1,19,45
0,1,14,50
0,1,26,38
0,1,13,51
0,1,16,48
0,1,23,41
0,1,15,49
0,1,13,51
0,1,12,52
0,1,16,48
0,1,25,39
0,1,21,43
0,1,18,46
0,1,19,45
0,1,19,45
0,1,18,46
0,1,11,53
0,1,13,51
0,1,13,51
0,1,15,49
0,1,21,43
0,1,19,45
0,1,16,48
0,1,16,48
0,1,18,46
0,1,21,43
0,1,11,53
0,1,16,48
0,1,16,48
0,1,19,45
0,1,14,50
0,1,14,50
0,1,7,57
0,1,7,57
0,1,18,46
0,1,11,53
0,1,13,51
0,1,18,46
0,1,28,36
0,1,24,40
0,1,12,52
0,1,20,44
0,1,14,50
0,1,18,46
0,1,16,48
0,1,15,49
0,1,4,60
0,1,19,45
0,1,19,45
0,1,25,39
0,1,22,42
0,1,14,50
0,1,13,51
0,1,19,45
0,1,20,44
0,1,17,47
0,1,17,47
0,1,18,46
0,1,20,44
0,1,9,55
0,1,22,42
0,1,27,37
0,1,25,39
0,1,22,42
0,1,15,49
0,1,7,57
0,1,17,47
0,1,21,43
0,1,11,53
0,1,29,35
0,1,18,46
0,1,14,50
0,1,11,53
0,1,14,50
0,1,15,49
0,1,18,46
0,1,15,49
0,1,12,52
0,1,17,47
0,1,16,48
0,1,14,50
0,1,21,43
0,1,18,46
0,1,17,47
0,1,19,45
0,1,24,40
0,1,13,51
0,1,10,54
0,1,16,48
0,1,17,47
0,1,13,51
0,1,11,53
0,1,14,50
0,1,21,43
