Results for game Gambler against Roxanne
Each cycle contains 100 games, where first half of games Gambler is black and second half Roxanne is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Gambler,Roxanne,Discs_Gambler,Discs_Roxanne
1,0,35,29
0,1,27,37
0,1,22,42
0,1,29,35
0,1,16,48
0,1,23,41
0,1,25,39
0,0,32,32
0,1,16,48
0,1,22,42
0,1,26,38
0,1,27,37
1,0,33,31
0,1,28,36
0,1,17,47
0,1,22,42
0,0,32,32
0,1,21,43
0,1,12,52
0,1,27,37
0,1,30,34
0,1,21,43
0,1,23,41
0,1,29,35
0,1,24,40
1,0,33,31
0,1,23,41
0,1,25,39
0,1,20,44
0,1,31,33
0,1,22,42
0,1,25,39
0,1,26,38
0,1,23,41
1,0,34,30
0,1,23,41
1,0,34,30
1,0,34,30
0,1,23,41
0,1,9,55
0,1,24,40
0,1,26,38
0,1,24,40
0,1,27,37
0,1,22,42
0,1,19,45
0,1,24,40
0,1,16,48
0,1,24,40
0,1,27,37
1,0,36,28
1,0,37,27
0,1,17,47
0,0,32,32
1,0,41,23
0,0,32,32
0,1,23,41
0,1,21,43
0,1,15,49
0,1,10,54
0,1,21,43
0,1,24,40
0,1,27,37
0,1,20,44
1,0,41,23
0,1,18,46
0,1,14,50
0,1,29,35
0,1,27,37
0,1,8,56
0,1,28,36
1,0,33,31
0,1,29,35
0,0,32,32
1,0,35,29
0,1,25,39
0,1,25,39
1,0,38,26
0,1,28,36
0,1,15,49
0,1,21,43
0,1,26,38
0,1,16,48
0,1,23,41
1,0,37,27
1,0,40,24
Cycle: 4
Gambler,Roxanne,Discs_Gambler,Discs_Roxanne

0,1,21,43
0,1,29,35
0,1,30,34
0,1,21,43
0,1,24,40
0,1,31,33
0,1,26,38
0,1,16,48
0,1,29,35
0,0,32,32
0,1,14,50
0,1,20,44
0,1,26,38
0,1,21,43
1,0,52,12
0,1,23,41
0,1,11,53
0,1,19,45
0,1,30,34
0,1,27,37
0,1,29,35
0,1,29,35
0,1,18,46
0,1,29,35
0,1,26,38
0,1,19,45
0,1,30,34
0,1,23,41
0,1,27,37
0,1,20,44
0,1,24,40
0,1,24,40
0,1,19,45
0,1,23,41
0,1,27,37
0,1,23,41
0,1,18,46
0,1,23,41
0,1,9,55
0,1,24,40
0,1,16,48
0,1,18,46
0,1,21,43
0,1,19,45
1,0,38,26
0,1,23,41
0,1,24,40
0,1,16,48
0,1,23,41
0,1,30,34
0,1,24,40
0,1,29,35
0,1,23,41
0,1,28,36
0,0,32,32
1,0,43,21
0,1,22,42
0,1,24,40
0,1,25,39
1,0,34,30
0,1,31,33
0,1,28,36
0,1,22,42
1,0,33,31
1,0,36,28
0,1,22,42
0,0,32,32
0,1,12,52
1,0,33,31
0,1,18,46
0,1,27,37
0,1,19,45
0,1,17,47
0,1,31,33
0,1,21,43
0,1,24,40
0,1,25,39
0,1,25,39
0,1,27,37
0,1,24,40
1,0,36,28
1,0,34,30
0,1,18,46
0,1,28,36
0,1,30,34
1,0,35,29
0,1,27,37
0,1,22,42
0,1,14,50
0,1,23,41
0,1,27,37
0,1,14,50
1,0,40,24
0,1,20,44
0,1,31,33
0,1,17,47
1,0,36,28
0,1,27,37
0,1,10,54
0,1,13,51
Cycle: 5
Gambler,Roxanne,Discs_Gambler,Discs_Roxanne

0,1,29,35
0,1,19,45
0,1,25,39
1,0,34,30
0,1,24,40
0,1,28,36
0,1,31,33
0,1,19,45
1,0,36,28
0,1,12,52
0,1,24,40
1,0,37,27
0,1,27,37
0,1,31,33
0,1,20,44
0,1,14,50
0,1,20,44
0,1,20,44
0,1,21,43
0,1,17,47
0,1,16,48
0,1,25,39
1,0,33,31
0,1,29,35
0,1,30,34
0,1,25,39
1,0,36,28
0,1,24,40
0,1,26,38
0,1,18,46
0,1,20,44
0,1,13,51
0,1,24,40
0,1,24,40
0,1,16,48
0,1,6,58
0,1,24,40
0,1,30,34
0,1,19,45
0,1,19,45
1,0,43,21
1,0,41,23
0,1,30,34
0,1,28,36
0,1,24,40
0,1,20,44
0,1,23,41
0,1,29,35
0,1,18,46
1,0,39,25
1,0,35,29
0,1,24,40
0,1,21,43
0,1,28,36
0,1,20,44
0,1,21,43
0,1,27,37
0,1,24,40
0,1,28,36
0,1,30,34
0,1,23,41
0,1,29,35
0,1,22,42
1,0,34,30
0,1,24,40
0,1,25,39
1,0,34,30
0,1,25,39
0,1,23,41
0,1,30,34
1,0,34,30
0,1,10,54
0,1,14,50
0,1,27,37
0,1,23,41
0,1,28,36
0,1,23,41
0,1,28,36
0,1,25,39
0,1,26,38
1,0,46,18
0,1,29,35
0,1,14,50
0,1,27,37
0,1,27,37
0,0,32,32
0,1,22,42
0,0,32,32
0,1,20,44
0,1,21,43
0,1,17,47
0,1,30,34
0,1,25,39
0,1,14,50
0,1,27,37
0,1,10,54
0,1,13,51
0,1,27,37
1,0,39,25
0,1,28,36
Cycle: 6
Gambler,Roxanne,Discs_Gambler,Discs_Roxanne

1,0,64,0
0,1,17,47
0,1,8,56
0,1,20,44
0,1,29,35
0,1,15,49
0,1,23,41
1,0,33,31
0,1,23,41
0,1,14,50
0,1,30,34
1,0,36,28
0,1,11,53
0,1,27,37
0,1,19,45
0,0,32,32
0,1,25,39
0,1,21,43
1,0,33,31
0,1,23,41
0,1,21,43
0,1,28,36
0,1,22,42
0,1,29,35
0,1,29,35
0,1,27,37
0,1,28,36
0,1,9,55
0,1,25,39
0,1,27,37
0,1,24,40
0,1,15,49
0,1,16,48
0,0,32,32
0,1,26,38
0,1,14,50
0,1,23,41
0,1,31,33
0,1,30,34
1,0,33,31
0,1,19,45
0,1,25,39
0,1,27,37
0,1,20,44
0,1,13,51
0,1,31,33
0,1,24,40
0,1,29,35
0,1,30,34
0,1,16,48
1,0,37,27
0,1,18,46
0,1,9,55
0,1,27,37
0,1,31,33
1,0,34,30
0,1,23,41
0,1,23,41
0,1,27,37
0,1,21,43
0,1,25,39
0,1,16,48
0,1,21,43
1,0,37,27
1,0,39,25
0,1,25,39
0,1,25,39
0,1,26,38
0,1,31,33
0,1,25,39
0,1,30,34
1,0,42,22
0,1,29,35
0,1,23,41
0,1,29,35
0,1,27,37
0,1,29,35
0,1,27,37
0,1,21,43
0,1,21,43
0,1,31,33
0,1,29,35
0,1,21,43
0,1,19,45
0,1,24,40
0,1,16,48
0,1,30,34
0,1,14,50
0,1,28,36
0,0,32,32
0,1,24,40
0,1,29,35
0,1,30,34
0,1,18,46
0,1,26,38
0,1,28,36
0,1,16,48
0,1,15,49
0,1,28,36
0,1,29,35
Cycle: 7
Gambler,Roxanne,Discs_Gambler,Discs_Roxanne

0,1,25,39
1,0,38,26
0,0,32,32
0,1,24,40
0,1,21,43
0,1,20,44
0,1,11,53
0,1,27,37
0,1,23,41
0,1,14,50
0,1,20,44
1,0,36,28
0,1,22,42
0,1,22,42
0,1,26,38
1,0,37,27
0,1,21,43
0,1,21,43
0,1,28,36
0,1,21,43
0,1,24,40
0,1,19,45
0,1,27,37
0,1,21,43
0,0,32,32
0,1,16,48
0,1,26,38
1,0,45,19
0,1,18,46
0,1,22,42
0,1,20,44
0,1,25,39
0,1,13,51
0,1,27,37
0,1,14,50
0,1,14,50
0,1,29,35
0,1,28,36
0,1,26,38
0,1,23,41
0,1,20,44
0,1,29,35
0,1,30,34
0,1,26,38
0,1,22,42
0,1,30,34
0,1,21,43
0,1,21,43
0,1,30,34
0,1,13,51
1,0,35,29
0,1,25,39
1,0,37,27
0,1,23,41
0,1,31,33
0,1,26,38
0,1,18,46
0,1,24,40
0,1,25,39
0,1,17,47
0,1,16,48
0,1,8,56
0,1,30,34
0,1,26,38
0,0,32,32
0,1,11,53
0,1,16,48
0,1,25,39
0,1,28,36
0,1,12,52
1,0,33,31
0,1,13,51
1,0,33,31
0,1,25,39
0,1,28,36
0,0,32,32
0,1,26,38
1,0,42,22
1,0,36,28
0,1,21,43
0,1,25,39
0,1,16,48
0,1,19,45
0,1,25,39
0,1,26,38
0,1,25,39
0,1,24,40
0,1,25,39
0,1,31,33
1,0,36,28
0,1,12,52
0,1,21,43
0,1,27,37
1,0,35,29
0,1,25,39
0,1,20,44
0,1,20,44
0,1,11,53
0,1,14,50
0,1,27,37
Cycle: 8
Gambler,Roxanne,Discs_Gambler,Discs_Roxanne

0,1,19,45
0,1,31,33
0,1,28,36
0,1,21,43
0,1,25,39
0,1,15,49
0,1,21,43
0,1,17,47
0,1,23,41
1,0,40,24
0,1,17,47
0,1,22,42
0,1,11,53
0,1,24,40
0,1,20,44
0,1,19,45
1,0,33,31
1,0,36,28
0,1,22,42
0,1,10,54
0,1,27,37
0,1,16,48
0,1,25,39
1,0,42,22
0,1,27,37
0,1,31,33
1,0,34,30
1,0,35,29
0,1,31,33
0,1,13,51
1,0,39,25
0,1,29,35
0,1,26,38
0,1,20,44
0,1,19,45
0,1,19,45
0,1,25,39
0,1,8,56
0,1,25,39
0,1,19,45
0,1,19,45
0,1,26,38
0,1,26,38
1,0,43,21
0,1,9,55
0,1,29,35
0,1,21,43
1,0,34,30
0,1,24,40
1,0,33,31
1,0,41,23
1,0,36,28
0,1,30,34
0,1,31,33
0,1,11,53
1,0,33,31
1,0,37,27
0,1,25,39
0,1,29,35
1,0,34,30
1,0,40,24
0,1,21,43
0,1,25,39
0,1,31,33
1,0,37,27
0,1,17,47
0,1,25,39
0,1,27,37
0,0,32,32
0,1,29,35
0,0,32,32
1,0,39,25
0,1,26,38
0,1,26,38
0,1,18,46
0,0,32,32
0,1,24,40
0,1,11,53
0,1,28,36
0,1,25,39
0,1,11,53
1,0,35,29
0,1,20,44
1,0,38,26
0,1,26,38
0,1,29,35
0,1,24,40
0,1,18,46
0,1,21,43
0,1,28,36
0,1,30,34
0,1,22,42
0,1,17,47
0,1,17,47
1,0,40,24
0,1,23,41
1,0,33,31
0,1,22,42
0,0,32,32
0,1,25,39
Cycle: 9
Gambler,Roxanne,Discs_Gambler,Discs_Roxanne

0,1,14,50
0,1,27,37
0,1,27,37
0,1,27,37
0,0,32,32
0,1,27,37
0,1,27,37
0,1,20,44
1,0,34,30
0,1,31,33
0,1,22,42
1,0,33,31
1,0,39,25
0,1,21,43
0,1,19,45
1,0,39,25
0,1,27,37
0,1,21,43
0,1,23,41
0,1,27,37
1,0,35,29
0,1,18,46
0,1,25,39
0,1,17,47
0,1,29,35
0,1,26,38
0,1,25,39
0,1,24,40
0,1,27,37
0,1,21,43
0,1,12,52
0,1,25,39
1,0,41,23
0,1,23,41
0,1,21,43
0,1,16,48
0,1,27,37
0,1,26,38
0,0,32,32
1,0,34,30
0,1,13,51
0,1,29,35
0,1,25,39
0,1,27,37
0,1,19,45
0,1,30,34
1,0,35,29
0,1,22,42
0,1,16,48
0,1,24,40
0,1,23,41
0,1,27,37
0,1,31,33
0,1,30,34
0,1,23,41
0,1,22,42
0,1,28,36
1,0,35,29
1,0,33,31
0,1,14,50
0,1,21,43
1,0,44,20
0,1,26,38
0,1,10,54
0,1,31,33
0,1,30,34
0,1,22,42
1,0,35,29
0,1,22,42
0,1,22,42
0,1,26,38
0,1,27,37
1,0,33,31
0,1,24,40
0,1,28,36
0,1,11,53
0,1,26,38
0,1,23,41
1,0,38,26
0,1,30,34
1,0,43,21
0,1,23,41
0,1,28,36
0,1,21,43
0,1,22,42
0,1,31,33
0,1,22,42
1,0,34,30
0,1,27,37
0,1,8,56
0,1,31,33
0,1,27,37
1,0,39,25
0,1,20,44
0,1,22,42
0,1,29,35
0,1,23,41
0,1,28,36
0,1,23,41
1,0,48,16
